,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,price,district,street,house_number,underground,residential_complex
361,Екатерина Рычкова,realtor,https://www.cian.ru/sale/flat/300767627/,Москва,sale,flat,3,22,1,38.4,-1,0,16500000,Обручевский, Обручева,28К8,Калужская,
362,Vysotsky Estate,real_estate_agent,https://www.cian.ru/sale/flat/299983272/,Москва,sale,flat,1,9,1,32.1,-1,0,9100000,Кузьминки,Волгоградский проспект,97К1,Кузьминки,
363,OXE CAPITAL - Элитная Недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/300922960/,Москва,sale,flat,8,22,1,47.3,-1,0,17974000,Чертаново Южное, Академика Янгеля,1к1,Улица Академика Янгеля,Чертановский
364,МИЦ-Столичный ипотечный центр недвижимости,real_estate_agent,https://www.cian.ru/sale/flat/298369793/,Москва,sale,flat,23,25,1,42.0,-1,0,10000000,, Москвитина,1к2,Рассказовка,Город-парк Первый Московский
365,Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/301098094/,Москва,sale,flat,9,9,1,32.7,-1,0,8800000,Люблино,Краснодарская ,20/1,Люблино,
366,Homeapp,real_estate_agent,https://www.cian.ru/sale/flat/300297108/,Москва,sale,flat,21,22,1,34.0,-1,0,17000000,Хорошевский,1-я Магистральная ,25,Хорошёвская,Сити-комплекс Мята
367,Самолет Плюс Москва,real_estate_agent,https://www.cian.ru/sale/flat/300564827/,Москва,sale,flat,13,16,1,35.4,-1,0,12500000,Донской,Загородное шоссе,3К3,Крымская,
368,Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/301677080/,Москва,sale,flat,5,16,1,37.0,-1,0,10700000,Бибирево, Коненкова,19,Бибирево,
369,Эксклюзив Хоум,real_estate_agent,https://www.cian.ru/sale/flat/300622311/,Москва,sale,flat,3,8,1,49.7,-1,0,15950000,Лефортово,Энергетическая ,22,Авиамоторная,
370,Елена Кудрявцева,realtor,https://www.cian.ru/sale/flat/300873947/,Москва,sale,flat,6,7,1,35.0,-1,0,14650000,Таганский,Нижегородская ,32С3,Калитники,Loft FM
371,Самолет Плюс,real_estate_agent,https://www.cian.ru/sale/flat/300008616/,Москва,sale,flat,4,5,1,22.0,-1,0,6600000,Аэропорт,2-й Амбулаторный проезд,8С3,Красный Балтиец,
372,Бест офис на Таганской,real_estate_agent,https://www.cian.ru/sale/flat/300728418/,Москва,sale,flat,3,19,1,55.7,-1,0,21000000,Хорошево-Мневники,проспект Маршала Жукова,76к2,Народное Ополчение,
373,Homeapp,real_estate_agent,https://www.cian.ru/sale/flat/295529312/,Москва,sale,flat,4,5,1,27.0,-1,0,24700000,Тверской, Петровка,26С3,Пушкинская,La Rue
374,ID 238185,unknown,https://www.cian.ru/sale/flat/300985679/,Москва,sale,flat,9,9,1,32.5,-1,0,12290000,Строгино, Исаковского,12К2,Строгино,
375,Эксклюзив Хоум,real_estate_agent,https://www.cian.ru/sale/flat/299563667/,Москва,sale,flat,15,17,1,38.4,-1,0,17900000,Войковский,Старопетровский проезд,8,Войковская,
376,Homeapp,real_estate_agent,https://www.cian.ru/sale/flat/300419481/,Москва,sale,flat,2,12,1,35.2,-1,0,11200000,Коптево,бульвар Матроса Железняка,11А,Коптево,
377,Монолит Столица,real_estate_agent,https://www.cian.ru/sale/flat/300943775/,Москва,sale,flat,9,24,1,42.6,-1,0,10950000,Выхино-Жулебино,Привольная ,56,Жулебино,Приволье
378,Homeapp,real_estate_agent,https://www.cian.ru/sale/flat/301246304/,Москва,sale,flat,3,12,1,0.5,-1,0,11200000,Строгино, Твардовского,10С2,Строгино,
379,Монолит Столица,real_estate_agent,https://www.cian.ru/sale/flat/301563188/,Москва,sale,flat,7,14,1,38.0,-1,0,17600000,Покровское-Стрешнево,Волоколамское шоссе,71к2,Спартак,Город на Реке Тушино-2018
380,Ольга Локтева,realtor,https://www.cian.ru/sale/flat/295105993/,Москва,sale,flat,6,16,1,38.0,-1,0,10950000,Восточное Дегунино,Дубнинская ,36К3,Бескудниково,
381,ОГРК,real_estate_agent,https://www.cian.ru/sale/flat/299343727/,Москва,sale,flat,7,9,1,38.7,-1,0,12300000,Кузьминки,Волжский бульвар,29К2,Кузьминки,
382,Penny Lane Realty Жилая недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/300961705/,Москва,sale,flat,2,6,1,42.1,-1,0,22490000,Пресненский,переулок Красина,16С1,Баррикадная,Дом на Красина
383,Владис,real_estate_agent,https://www.cian.ru/sale/flat/301512994/,Москва,sale,flat,17,38,1,51.9,-1,0,20000000,Хорошевский,Хорошевское шоссе,12к1,Беговая,
384,Homeapp,real_estate_agent,https://www.cian.ru/sale/flat/298340622/,Москва,sale,flat,12,27,1,44.1,-1,0,18500000,Хорошевский, Зорге,9к1,Зорге,Рихард
385,Homeapp,real_estate_agent,https://www.cian.ru/sale/flat/299938068/,Москва,sale,flat,14,17,1,37.9,-1,0,10450000,Братеево, Борисовские Пруды,18К1,Борисово,
386,ID 283823,real_estate_agent,https://www.cian.ru/sale/flat/296989997/,Москва,sale,flat,2,22,1,37.0,-1,0,17500000,Западное Дегунино,Дмитровское шоссе,73Б,Верхние Лихоборы,Тринити
387,Century 21 Street Realty,real_estate_agent,https://www.cian.ru/sale/flat/297661462/,Москва,sale,flat,23,25,1,36.0,-1,0,17600000,Фили-Давыдково,Кастанаевская ,65,Кунцевская,
388,METRAGE,real_estate_agent,https://www.cian.ru/sale/flat/300931491/,Москва,sale,flat,10,20,1,34.7,-1,0,17500000,Головинский,Михалковская ,48к2,Коптево,Михалковский
389,Homeapp,real_estate_agent,https://www.cian.ru/sale/flat/297310150/,Москва,sale,flat,8,13,1,33.0,-1,0,18000000,Хорошевский,Ходынский бульвар,20А,ЦСКА,Лайнер
390,ID 15381315,realtor,https://www.cian.ru/sale/flat/301721822/,Москва,sale,flat,21,29,1,39.1,-1,0,17700000,Покровское-Стрешнево,Волоколамское шоссе,95/2к5,Трикотажная,City Bay
391,Московский Квартал,real_estate_agent,https://www.cian.ru/sale/flat/300542749/,Москва,sale,flat,24,29,1,37.7,-1,0,18000000,Очаково-Матвеевское,Аминьевское шоссе,4Д,Аминьевская,
392,Prime,real_estate_agent,https://www.cian.ru/sale/flat/300941020/,Москва,sale,flat,2,28,1,46.3,-1,0,18400000,Даниловский,1-я оч.,к7,ЗИЛ,Shagal
393,Novel Estates,real_estate_agent,https://www.cian.ru/sale/flat/300664236/,Москва,sale,flat,14,47,1,42.9,-1,0,18000000,Хорошево-Мневники, Генерала Глаголева,14Ак1,Народное Ополчение,CRYSTAL Трилогия
394,GENESIS Asset Management,real_estate_agent,https://www.cian.ru/sale/flat/299500139/,Москва,sale,flat,26,29,1,40.0,-1,0,19000000,Даниловский, Виктора Маслова,2,,RiverSky
395,EstateLiga,real_estate_agent,https://www.cian.ru/sale/flat/300269721/,Москва,sale,flat,16,42,1,45.7,-1,0,19100000,Котловка,Севастопольский проспект,22А,Нагорная,Eniteo
396,ID 77793296,unknown,https://www.cian.ru/sale/flat/294952977/,Москва,sale,flat,3,33,1,36.0,-1,0,18950000,Кунцево, Академика Павлова,38к1,Молодёжная,Академика Павлова
397,EstateLiga,real_estate_agent,https://www.cian.ru/sale/flat/296043335/,Москва,sale,flat,2,29,1,46.0,-1,0,19200000,Даниловский,Восточная ,4Ак1,Автозаводская,RiverSky
398,Монолит Столица,real_estate_agent,https://www.cian.ru/sale/flat/301231976/,Москва,sale,flat,3,25,1,36.0,-1,0,18950000,Кунцево, Академика Павлова,38к1,Молодёжная,Академика Павлова
399,Монолит Столица,real_estate_agent,https://www.cian.ru/sale/flat/300420019/,Москва,sale,flat,2,28,1,42.0,-1,0,19300000,Очаково-Матвеевское,Аминьевское шоссе,4Дк3литВ,Аминьевская,Вестердам
400,ФСК Агент,real_estate_agent,https://www.cian.ru/sale/flat/298046983/,Москва,sale,flat,15,25,1,34.4,-1,0,19500000,Хорошево-Мневники,Шелепихинская набережная,40к2,Шелепиха,Sydney City
401,ГОРОБМЕН,real_estate_agent,https://www.cian.ru/sale/flat/300225205/,Москва,sale,flat,7,9,1,35.0,-1,0,19500000,Замоскворечье,Большая Пионерская ,37/38,Серпуховская,
402,ZAPAD REALTY - офис Маршала Жукова,real_estate_agent,https://www.cian.ru/sale/flat/293743894/,Москва,sale,flat,19,21,1,48.6,-1,0,19999900,Хорошево-Мневники, Народного Ополчения,13,Народное Ополчение,Wellton Gold
403,Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/298734128/,Москва,sale,flat,22,23,1,47.8,-1,0,20000000,Чертаново Южное, Академика Янгеля,2,Улица Академика Янгеля,М-House
404,Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/301260571/,Москва,sale,flat,18,22,1,39.1,-1,0,12700000,Ясенево,Литовский бульвар,13/12,Ясенево,
405,Homeapp,real_estate_agent,https://www.cian.ru/sale/flat/300100659/,Москва,sale,flat,18,18,1,37.7,-1,0,13700000,,проспект Прокшинский,12,Прокшино,Прокшино
406,МИЭЛЬ,real_estate_agent,https://www.cian.ru/sale/flat/301228654/,Москва,sale,flat,18,22,1,38.6,-1,0,10200000,Марьино,Новочеркасский бульвар,20К3,Курьяново,
407,Homeapp,real_estate_agent,https://www.cian.ru/sale/flat/297872617/,Москва,sale,flat,3,25,1,33.1,-1,0,11000000,Метрогородок,Тагильская ,4к1,Бульвар Рокоссовского,Сиреневый парк
408,EstateLiga,real_estate_agent,https://www.cian.ru/sale/flat/300531835/,Москва,sale,flat,32,46,1,45.0,-1,0,29000000,Хорошево-Мневники,Шелепихинская набережная,34к2зд2,Шелепиха,Сердце Столицы
409,Prestige-Resulting,real_estate_agent,https://www.cian.ru/sale/flat/300301003/,Москва,sale,flat,1,12,1,36.0,-1,0,9500000,Южное Бутово,Южнобутовская ,76,Бунинская аллея,
410,АЛЬФА 2017,real_estate_agent,https://www.cian.ru/sale/flat/301401833/,Москва,sale,flat,3,19,1,39.4,-1,0,9500000,, Москвитина,3к1,Рассказовка,Город-парк Первый Московский
411,ЛэндЛ,real_estate_agent,https://www.cian.ru/sale/flat/298397251/,Москва,sale,flat,17,17,1,37.0,-1,0,10620000,, Самуила Маршака,24,Рассказовка,Переделкино Ближнее Город-парк
412,METRAGE,real_estate_agent,https://www.cian.ru/sale/flat/298111522/,Москва,sale,flat,4,9,1,32.4,-1,0,11300000,Лефортово,Сторожевая ,18,Лефортово,
413,Монолит Столица,real_estate_agent,https://www.cian.ru/sale/flat/295399013/,Москва,sale,flat,4,5,1,36.0,-1,0,6700000,, Прудовая,1а,Щербинка,
414,Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/298337933/,Москва,sale,flat,13,17,1,42.2,-1,0,12000000,Крюково,проспект Георгиевский,33к2,Зеленоград — Крюково,Жемчужина Зеленограда
415,Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/301715120/,Москва,sale,flat,3,16,1,35.0,-1,0,9900000,Восточное Дегунино,Дубнинская ,32К3,Бескудниково,
416,Новые Ватутинки,real_estate_agent,https://www.cian.ru/sale/flat/297590857/,Москва,sale,flat,2,3,1,42.6,-1,0,10500000,, Гимнастическая,3,Коммунарка,
417,Виктория Колоскова,realtor,https://www.cian.ru/sale/flat/300943049/,Москва,sale,flat,20,21,1,42.0,-1,0,15600000,Сокольники, Сокольнический Вал,3,Рижская,Резиденция Сокольники
418,АЛЬФА 2017,real_estate_agent,https://www.cian.ru/sale/flat/301641154/,Москва,sale,flat,12,18,1,36.3,-1,0,13900000,Щукино,Большой Волоколамский проезд,23,Стрешнево,Комплекс апартаментов B’aires
419,Alliance Agency Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/298254403/,Москва,sale,flat,4,33,1,42.9,-1,0,23900000,Останкинский, Годовикова,11к2,Алексеевская,iLove
420,Монолит Столица,real_estate_agent,https://www.cian.ru/sale/flat/298049827/,Москва,sale,flat,3,9,1,35.0,-1,0,10800000,Отрадное, Бестужевых,12Б,Отрадное,
421,OPN PARTNER,real_estate_agent,https://www.cian.ru/sale/flat/300648657/,Москва,sale,flat,12,12,1,38.2,-1,0,9490000,Алтуфьевский,Костромская ,4,Бибирево,
422,Homeapp,real_estate_agent,https://www.cian.ru/sale/flat/301184666/,Москва,sale,flat,12,22,1,45.0,-1,0,22500000,Тропарево-Никулино,Озерная ,35,Озёрная,Пикассо
423,СЕДЬМОЕ НЕБО,real_estate_agent,https://www.cian.ru/sale/flat/297788340/,Москва,sale,flat,6,35,1,43.0,-1,0,25000000,Останкинский, Годовикова,11к2,Алексеевская,iLove
424,Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/301674348/,Москва,sale,flat,4,12,1,35.2,-1,0,9250000,Выхино-Жулебино,Ферганский проезд,14К2,Юго-Восточная,
425,Центральный Департамент Недвижимости,real_estate_agent,https://www.cian.ru/sale/flat/298677787/,Москва,sale,flat,4,24,1,34.0,-1,0,25800000,Красносельский,Большая Спасская ,35,Комсомольская,Dialog
426,BARNES International Realty,real_estate_agent,https://www.cian.ru/sale/flat/301019177/,Москва,sale,flat,31,34,1,36.0,-1,0,22000000,Хорошево-Мневники,Шелепихинская набережная,34,Шелепиха,Сердце Столицы
427,Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/301715083/,Москва,sale,flat,4,12,1,35.0,-1,0,9400000,Алтуфьевский,Путевой проезд,42,Бескудниково,
428,Landis,real_estate_agent,https://www.cian.ru/sale/flat/296077364/,Москва,sale,flat,3,25,1,43.1,-1,0,10200000,, Радужная,4,Рассказовка,Град Московский
429,Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/301132671/,Москва,sale,flat,15,16,1,39.1,-1,0,13700000,Гольяново,Камчатская ,4к1,Щёлковская,
430,Владис,real_estate_agent,https://www.cian.ru/sale/flat/301642312/,Москва,sale,flat,2,14,1,39.1,-1,0,12000000,Северное Бутово, Знаменские Садки,3К2,Бульвар Дмитрия Донского,
431,Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/299074966/,Москва,sale,flat,2,8,1,43.0,-1,0,14900000,Южнопортовый,Шарикоподшипниковская ,9,Дубровка,
432,ID 110154738,homeowner,https://www.cian.ru/sale/flat/300692309/,Москва,sale,flat,1,14,1,33.6,-1,0,10600000,Щукино, Расплетина,19К2,Октябрьское поле,
433,Homeapp,real_estate_agent,https://www.cian.ru/sale/flat/301065726/,Москва,sale,flat,9,17,1,38.0,-1,0,21600000,Можайский, Красных Зорь,33А,Рабочий посёлок,Манифест
434,Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/298268445/,Москва,sale,flat,9,25,1,38.3,-1,0,10500000,, Никитина,11к1,Рассказовка,Город-парк Первый Московский
435,Екатерина Яловецкая,realtor,https://www.cian.ru/sale/flat/297467141/,Москва,sale,flat,6,14,1,41.2,-1,0,8500000,, Кварцевая,4к1,Бунинская аллея,
436,ОГРК,real_estate_agent,https://www.cian.ru/sale/flat/300658108/,Москва,sale,flat,19,33,1,31.7,-1,0,17190000,Хорошево-Мневники,Причальный проезд,10Б,Шелепиха,Level Причальный
437,СЕДЬМОЕ НЕБО,real_estate_agent,https://www.cian.ru/sale/flat/301560441/,Москва,sale,flat,23,35,1,45.0,-1,0,26500000,Останкинский, Годовикова,11к2,Алексеевская,iLove
438,Марина Герб,realtor,https://www.cian.ru/sale/flat/301370692/,Москва,sale,flat,5,9,1,33.0,-1,0,13520000,Коньково,Профсоюзная ,92,Беляево,
439,СТРОЙИНВЕСТ,real_estate_agent,https://www.cian.ru/sale/flat/298213552/,Москва,sale,flat,2,17,1,37.3,-1,0,10600000,Дмитровский,Клязьминская ,5К1,Грачёвская,
440,АРТ,real_estate_agent,https://www.cian.ru/sale/flat/296944448/,Москва,sale,flat,1,3,1,39.9,-1,0,8550000,, Харлампиева,22к2,Филатов Луг,Спортивный квартал
441,ID 53458229,homeowner,https://www.cian.ru/sale/flat/301464428/,Москва,sale,flat,4,9,1,33.0,-1,0,11900000,Коптево, Лихоборские Бугры,11,Лихоборы,
442,Триумфальная Арка,real_estate_agent,https://www.cian.ru/sale/flat/299854423/,Москва,sale,flat,17,24,1,39.8,-1,0,13400000,Метрогородок,Тагильская ,4В,Бульвар Рокоссовского,Сиреневый парк
443,OXE CAPITAL - Элитная Недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/297157995/,Москва,sale,flat,3,4,1,44.1,-1,0,9300000,,,2,Рассказовка,Бристоль
444,Доступная Недвижимость. 8 отдел,real_estate_agent,https://www.cian.ru/sale/flat/301150654/,Москва,sale,flat,8,17,1,38.0,-1,0,10300000,Москворечье-Сабурово,Каширское шоссе,55К1,Москворечье,
445,Лидия Ортнер,realtor,https://www.cian.ru/sale/flat/295022763/,Москва,sale,flat,7,15,1,43.7,-1,0,10300000,, Кварцевая,2к3,Прокшино,
446,Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/300936704/,Москва,sale,flat,18,25,1,38.4,-1,0,9200000,, Радужная,9,Рассказовка,
447,Навигатор,real_estate_agent,https://www.cian.ru/sale/flat/296562644/,Москва,sale,flat,7,14,1,41.2,-1,0,10600000,Чертаново Северное,Чертановская ,7К2,Южная,
448,Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/298169113/,Москва,sale,flat,16,16,1,38.0,-1,0,14500000,Нагатинский затон,Коломенская набережная,6,Нагатинский Затон,
449,Центральный Департамент Недвижимости,real_estate_agent,https://www.cian.ru/sale/flat/298526069/,Москва,sale,flat,6,36,1,34.0,-1,0,21000000,Хорошево-Мневники,Шелепихинская набережная,40к1,,Sydney City
450,ID 92085281,homeowner,https://www.cian.ru/sale/flat/301101612/,Москва,sale,flat,20,23,1,40.2,-1,0,13800000,Выхино-Жулебино, Академика Скрябина,3/1к3,Рязанский проспект,
451,Landis,real_estate_agent,https://www.cian.ru/sale/flat/300611928/,Москва,sale,flat,5,12,1,34.6,-1,0,13590000,Фили-Давыдково,Малая Филевская ,32,Пионерская,
452,МИЦ-Столичный ипотечный центр недвижимости,real_estate_agent,https://www.cian.ru/sale/flat/300857379/,Москва,sale,flat,2,14,1,42.5,-1,0,8300000,, Спортивная,17,Щербинка,
453,ID 99674200,realtor,https://www.cian.ru/sale/flat/300369462/,Москва,sale,flat,12,21,1,41.0,-1,0,52000000,Якиманка,Донская ,14К2,Шаболовская,Медный 3.14
454,Homeapp,real_estate_agent,https://www.cian.ru/sale/flat/299071762/,Москва,sale,flat,3,12,1,39.0,-1,0,20400000,Даниловский,3-й Павелецкий проезд,3,Крестьянская застава,Резиденции Композиторов
455,ID 64346553,homeowner,https://www.cian.ru/sale/flat/301579914/,Москва,sale,flat,12,15,1,40.1,-1,0,12900000,, Фитаревская,6,Коммунарка,Аквилон PARK
456,Homeapp,real_estate_agent,https://www.cian.ru/sale/flat/301036306/,Москва,sale,flat,8,9,1,38.0,-1,0,11590000,Лосиноостровский,Норильская ,3,Медведково,
457,Арт Риэлти,real_estate_agent,https://www.cian.ru/sale/flat/297245626/,Москва,sale,flat,2,32,1,47.0,-1,0,21950000,Хорошево-Мневники,проспект Маршала Жукова,43к5,Народное Ополчение,Wellton park
458,Владис,real_estate_agent,https://www.cian.ru/sale/flat/300610550/,Москва,sale,flat,12,14,1,37.2,-1,0,13000000,Марфино, Академика Комарова,11,Улица Милашенкова,
459,СЕДЬМОЕ НЕБО,real_estate_agent,https://www.cian.ru/sale/flat/299071770/,Москва,sale,flat,17,21,1,42.0,-1,0,21990000,Алексеевский,Новоалексеевская ,16к2,Алексеевская,Серебряный фонтан
460,Монолит Столица,real_estate_agent,https://www.cian.ru/sale/flat/292686414/,Москва,sale,flat,1,9,1,32.0,-1,0,11350000,Обручевский, Новаторов,40К14,Новаторская,
461,ID 80381933,realtor,https://www.cian.ru/sale/flat/301455189/,Москва,sale,flat,22,22,1,42.3,-1,0,12200000,, Анны Ахматовой,14,Рассказовка,Переделкино Ближнее Город-парк
462,Century 21 Street Realty,real_estate_agent,https://www.cian.ru/sale/flat/301265036/,Москва,sale,flat,4,25,1,46.0,-1,0,21800000,Покровское-Стрешнево,Волоколамское шоссе,81/2с3,Трикотажная,Апартаментный комплекс Level Стрешнево
463,Homeapp,real_estate_agent,https://www.cian.ru/sale/flat/300094894/,Москва,sale,flat,2,30,1,40.8,-1,0,21000000,Хорошево-Мневники,бульвар Генерала Карбышева,11,Народное Ополчение,Union Park
464,QLS Group,real_estate_agent,https://www.cian.ru/sale/flat/300870296/,Москва,sale,flat,10,20,1,36.8,-1,0,8390000,Бирюлево Восточное,6-я Радиальная ,7/1к1,Царицыно,Царицыно-2
465,Century 21 Premium Property,real_estate_agent,https://www.cian.ru/sale/flat/300752525/,Москва,sale,flat,49,58,1,106.1,-1,0,67500000,Хорошево-Мневники, Народного Ополчения,15К2,Народное Ополчение,Wellton Towers
466,Виктор Косогоров,realtor,https://www.cian.ru/sale/flat/300571407/,Москва,sale,flat,1,14,1,37.1,-1,0,9600000,Выхино-Жулебино, Авиаконструктора Миля,3,Жулебино,
467,EstateLiga,real_estate_agent,https://www.cian.ru/sale/flat/300027182/,Москва,sale,flat,38,40,1,40.0,-1,0,23500000,Даниловский,бульвар Братьев Весниных,1,ЗИЛ,ЗИЛАРТ
468,Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/301681782/,Москва,sale,flat,5,17,1,38.5,-1,0,10250000,Некрасовка, Ухтомского Ополчения,3,Некрасовка,Некрасовка-Парк
469,Место,real_estate_agent,https://www.cian.ru/sale/flat/299711360/,Москва,sale,flat,40,66,1,49.0,-1,0,37000000,Пресненский,1-й Красногвардейский проезд,22с1,Москва-Сити,NEVA TOWERS
470,Метриум-Премиум Городская недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/297951595/,Москва,sale,flat,17,19,1,37.0,-1,0,29900000,Гагаринский,Ленинский проспект,38Ак3,Ленинский проспект,Ленинский 38
471,Октава-Недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/300281735/,Москва,sale,flat,10,17,1,37.0,-1,0,9730000,Царицыно,Кавказский бульвар,50,Кантемировская,
472,Century 21 Premium Property,real_estate_agent,https://www.cian.ru/sale/flat/299883785/,Москва,sale,flat,3,11,1,40.7,-1,0,21990000,Раменки,Винницкая ,8к3,Раменки,Настоящее
473,MFC Capital,real_estate_agent,https://www.cian.ru/sale/flat/301175732/,Москва,sale,flat,9,22,1,42.3,-1,0,23500000,Даниловский,бульвар Братьев Весниных,1,ЗИЛ,ЗИЛАРТ
474,Татьяна Артыкова,realtor,https://www.cian.ru/sale/flat/267135296/,Москва,sale,flat,3,16,1,30.6,-1,0,8300000,, Эдварда Грига,18к4,Улица Скобелевская,Скандинавия
475,Монолит Столица,real_estate_agent,https://www.cian.ru/sale/flat/299733638/,Москва,sale,flat,16,21,1,42.0,-1,0,29900000,Хорошевский,Хорошевское шоссе,25Ак3,Хорошёвская,Династия
476,МИЭЛЬ,real_estate_agent,https://www.cian.ru/sale/flat/298111008/,Москва,sale,flat,1,2,1,12.5,-1,0,6875000,Басманный,Гороховский переулок,6/1С2,Курская,
477,OXE CAPITAL - Элитная Недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/296082953/,Москва,sale,flat,15,36,1,32.8,-1,0,22960000,Хорошево-Мневники,Шелепихинская набережная,34к1зд5,Шелепиха,Сердце Столицы
478,EstateLiga,real_estate_agent,https://www.cian.ru/sale/flat/299063844/,Москва,sale,flat,3,30,1,45.2,-1,0,15700000,Южнопортовый,Волгоградский проспект,32/5к1,Волгоградский проспект,Метрополия
479,СЕДЬМОЕ НЕБО,real_estate_agent,https://www.cian.ru/sale/flat/298089306/,Москва,sale,flat,16,21,1,43.0,-1,0,22500000,Алексеевский,Новоалексеевская ,16к2,Алексеевская,Серебряный фонтан
480,Century 21 Premium Property,real_estate_agent,https://www.cian.ru/sale/flat/299523717/,Москва,sale,flat,12,48,1,41.8,-1,0,20000000,Хорошево-Мневники, Народного Ополчения,15К1,Народное Ополчение,Wellton Towers
481,Ксения Иванова,realtor,https://www.cian.ru/sale/flat/298517117/,Москва,sale,flat,2,9,1,36.6,-1,0,11990000,Филевский парк,2-я Филевская ,5К3,Филёвский парк,
482,Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/301260563/,Москва,sale,flat,4,51,1,43.4,-1,0,40000000,Пресненский,Шмитовский проезд,39к8,Шелепиха,Headliner
483,Вертикаль,real_estate_agent,https://www.cian.ru/sale/flat/300931694/,Москва,sale,flat,19,23,1,45.0,-1,0,29000000,Очаково-Матвеевское,Нежинская ,3,Матвеевская,
484,ID 19380155,homeowner,https://www.cian.ru/sale/flat/301587502/,Москва,sale,flat,6,12,1,40.0,-1,0,10950000,Марьино,Донецкая ,15,Курьяново,
485,Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/301715090/,Москва,sale,flat,7,15,1,40.0,-1,0,11900000,, Василия Ощепкова,2,Коммунарка,Москвичка
486,ID 49525710,unknown,https://www.cian.ru/sale/flat/301539824/,Москва,sale,flat,11,12,1,37.2,-1,0,12450000,Солнцево,Солнцевский проспект,26,Солнцево,
487,Огни Города,real_estate_agent,https://www.cian.ru/sale/flat/301697021/,Москва,sale,flat,11,17,1,40.0,-1,0,11800000,, Бориса Пастернака,25,Рассказовка,
488,EstateLiga,real_estate_agent,https://www.cian.ru/sale/flat/300487627/,Москва,sale,flat,2,39,1,35.0,-1,0,14400000,Западное Дегунино,Ильменский проезд,14к3,Селигерская,Селигер Сити
489,do A.S.A.P.,real_estate_agent,https://www.cian.ru/sale/flat/301714817/,Москва,sale,flat,16,16,1,37.8,-1,0,13600000,Мещанский,2-й Крестовский переулок,12,Рижская,
490,ID 33515281,unknown,https://www.cian.ru/sale/flat/299034165/,Москва,sale,flat,3,9,1,31.4,-1,0,12560000,Таганский,Волгоградский проспект,18,Пролетарская,
491,Prime,real_estate_agent,https://www.cian.ru/sale/flat/301179353/,Москва,sale,flat,15,25,1,42.0,-1,0,16950000,Нижегородский,Рязанский проспект,2/1к5Т,Нижегородская,SREDA
492,МИЭЛЬ,real_estate_agent,https://www.cian.ru/sale/flat/301680752/,Москва,sale,flat,16,17,1,38.0,-1,0,10300000,, Лазурная,8,Коммунарка,Магистр
493,Владис,real_estate_agent,https://www.cian.ru/sale/flat/301271454/,Москва,sale,flat,14,16,1,35.0,-1,0,11500000,Теплый Стан, Теплый Стан,31,Тёплый Стан,
494,Самолет Плюс,real_estate_agent,https://www.cian.ru/sale/flat/300297349/,Москва,sale,flat,3,12,1,30.0,-1,0,7400000,,проспект Куприна,40к1,Бунинская аллея,Эко Бунино
495,do A.S.A.P.,real_estate_agent,https://www.cian.ru/sale/flat/300883239/,Москва,sale,flat,5,27,1,28.1,-1,0,14359000,Лефортово, Крузенштерна,10к1,Авиамоторная,Символ
496,do A.S.A.P.,real_estate_agent,https://www.cian.ru/sale/flat/295977963/,Москва,sale,flat,1,12,1,39.2,-1,0,8450000,Ивановское,Челябинская ,24К1,Новогиреево,
497,Монолит Столица,real_estate_agent,https://www.cian.ru/sale/flat/301512566/,Москва,sale,flat,4,9,1,32.6,-1,0,8700000,Орехово-Борисово Южное,Шипиловский проезд,63К1,Домодедовская,
498,МИЦ-Столичный ипотечный центр недвижимости,real_estate_agent,https://www.cian.ru/sale/flat/298146793/,Москва,sale,flat,8,12,1,38.7,-1,0,10500000,Митино,Уваровский переулок,10,Пенягино,
499,Владис,real_estate_agent,https://www.cian.ru/sale/flat/301036488/,Москва,sale,flat,9,9,1,33.9,-1,0,12550000,Можайский,Можайское шоссе,22,Рабочий посёлок,
500,ID 84520464,homeowner,https://www.cian.ru/sale/flat/299958156/,Москва,sale,flat,7,13,1,34.1,-1,0,10700000,, 1-я Ватутинская,14к1,Коммунарка,Russian Design District
