author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,price,district,street,house_number,underground,residential_complex
EstateLiga,real_estate_agent,https://www.cian.ru/sale/flat/301404466/,Москва,sale,flat,11,20,2,66.0,-1,0,24800000,Левобережный,Ленинградское шоссе,69к3,Беломорская,Aquatoria
Авеню-Мск,real_estate_agent,https://www.cian.ru/sale/flat/300009107/,Москва,sale,flat,2,9,2,57.0,-1,0,24700000,Пресненский,Стрельбищенский переулок,5,Москва-Сити,
ID 384491,homeowner,https://www.cian.ru/sale/flat/300218637/,Москва,sale,flat,8,16,2,63.2,-1,0,24800000,Аэропорт, Серегина,3,Петровский Парк,
Мария Назаренко,realtor,https://www.cian.ru/sale/flat/301064193/,Москва,sale,flat,2,33,2,48.8,-1,0,24650000,Хорошево-Мневники,Причальный проезд,10Б,Шелепиха,Level Причальный
Юлия Садчикова,realtor,https://www.cian.ru/sale/flat/298113842/,Москва,sale,flat,16,33,2,50.0,-1,0,25100000,Хорошево-Мневники,проспект Маршала Жукова,43к5,Народное Ополчение,Wellton park
Метр-Инфо,real_estate_agent,https://www.cian.ru/sale/flat/300742288/,Москва,sale,flat,20,37,2,60.0,-1,0,24990000,Раменки,Мосфильмовская ,98к2,,Огни
Владимир Фетискин,realtor,https://www.cian.ru/sale/flat/297941141/,Москва,sale,flat,5,9,2,60.0,-1,0,24990000,Богородское,Тюменский проезд,3к5,Бульвар Рокоссовского,Преображение
Самолет Плюс Москва ЦАО,real_estate_agent,https://www.cian.ru/sale/flat/299522606/,Москва,sale,flat,13,25,2,70.0,-1,0,24999999,Москворечье-Сабурово,Каширское шоссе,74А,Москворечье,
МИЭЛЬ,real_estate_agent,https://www.cian.ru/sale/flat/301040338/,Москва,sale,flat,15,24,2,55.2,-1,0,25000000,Тропарево-Никулино,Никулинская ,8к3,Озёрная,Квартал на Никулинской
Дарья Румянцева,realtor,https://www.cian.ru/sale/flat/294757945/,Москва,sale,flat,6,22,2,51.2,-1,0,25000000,Щукино,Большой Волоколамский проезд,23,Стрешнево,Комплекс апартаментов B’aires
EstateLiga,real_estate_agent,https://www.cian.ru/sale/flat/300116445/,Москва,sale,flat,17,29,2,55.8,-1,0,24900000,Хорошевский, Зорге,9к2,Полежаевская,Рихард
EstateLiga,real_estate_agent,https://www.cian.ru/sale/flat/300158363/,Москва,sale,flat,11,22,2,46.0,-1,0,25000000,Хорошевский,1-я Магистральная ,25,Хорошёвская,Сити-комплекс Мята
ID 12230578,realtor,https://www.cian.ru/sale/flat/298839555/,Москва,sale,flat,9,35,2,42.7,-1,0,24990000,Останкинский, Годовикова,11к2,Алексеевская,iLove
Анна Мезитова,realtor,https://www.cian.ru/sale/flat/298802938/,Москва,sale,flat,4,22,2,55.0,-1,0,25500000,Щукино, Берзарина,30А,Панфиловская,Октябрьское поле
Юлия Садчикова,realtor,https://www.cian.ru/sale/flat/289335260/,Москва,sale,flat,7,8,2,58.0,-1,0,25800000,Ломоносовский, Крупской,8К3,Университет,
ID 12420901,realtor,https://www.cian.ru/sale/flat/301084073/,Москва,sale,flat,13,23,2,71.6,-1,0,25900000,Южное Бутово,Старокрымская ,17,Улица Скобелевская,Эталон-Сити
Андрей Бурынин,realtor,https://www.cian.ru/sale/flat/296392422/,Москва,sale,flat,4,7,2,69.7,-1,0,25950000,Беговой,Ленинградский проспект,26К1,Белорусская,
EstateLiga,real_estate_agent,https://www.cian.ru/sale/flat/300917118/,Москва,sale,flat,4,47,2,61.2,-1,0,26000000,Бутырский,Новодмитровская ,2к7,Дмитровская,Савеловский Сити
МИЦ-Столичный ипотечный центр недвижимости,real_estate_agent,https://www.cian.ru/sale/flat/298874180/,Москва,sale,flat,8,8,2,64.4,-1,0,26000000,Замоскворечье,Кожевническая ,1БС1,Павелецкая,
Сильная Сторона,real_estate_agent,https://www.cian.ru/sale/flat/300820795/,Москва,sale,flat,2,8,2,68.0,-1,0,26500000,Басманный,Садовая-Черногрязская ,16-18С1,Красные ворота,
Илья Еремин,realtor,https://www.cian.ru/sale/flat/301805749/,Москва,sale,flat,8,9,2,47.0,-1,0,26650000,Тверской, Бутырский Вал,32,Белорусская,
QuickHome,real_estate_agent,https://www.cian.ru/sale/flat/300711644/,Москва,sale,flat,2,5,2,42.6,-1,0,26900000,Хамовники, Плющиха,18,Смоленская,
Юлия Садчикова,realtor,https://www.cian.ru/sale/flat/300596715/,Москва,sale,flat,12,12,2,52.0,-1,0,26800000,Даниловский,проспект Лихачева,12к4,Технопарк,Квартал на набережной NOW
NEWPOLIS,real_estate_agent,https://www.cian.ru/sale/flat/300252608/,Москва,sale,flat,19,22,2,67.33,-1,0,26865000,Черемушки, Каховка,31,Зюзино,
Дарья Румянцева,realtor,https://www.cian.ru/sale/flat/300860541/,Москва,sale,flat,8,12,2,51.5,-1,0,26700000,Аэропорт,Ленинградский проспект,36с36,Петровский Парк,ВТБ Арена парк
На Петровке Продажа-Аренда,real_estate_agent,https://www.cian.ru/sale/flat/300876166/,Москва,sale,flat,7,10,2,78.5,-1,0,27000000,Алексеевский,Рижский проезд,3,Алексеевская,
Ордер,real_estate_agent,https://www.cian.ru/sale/flat/285582701/,Москва,sale,flat,2,8,2,54.8,-1,0,27450000,Хамовники,Смоленская-Сенная площадь,23/25,Смоленская,
Самолет Плюс Москва ЦАО,real_estate_agent,https://www.cian.ru/sale/flat/301184193/,Москва,sale,flat,7,25,2,72.0,-1,0,27500000,Раменки, Лобачевского,118к2,Аминьевская,Лобачевский
ID 116367804,homeowner,https://www.cian.ru/sale/flat/301823645/,Москва,sale,flat,9,12,2,44.0,-1,0,27500000,Замоскворечье,2-й Монетчиковский переулок,2/12,Добрынинская,
ID 76808490,homeowner,https://www.cian.ru/sale/flat/301591208/,Москва,sale,flat,9,13,2,64.0,-1,0,27600000,Люблино,проспект 40 лет Октября,36,Депо,Люблинский
Самолет Плюс Москва ЦАО,real_estate_agent,https://www.cian.ru/sale/flat/300615369/,Москва,sale,flat,11,13,2,57.1,-1,0,27800000,Останкинский,Олонецкая ,4,Ботанический сад,Green park
ID 208463,real_estate_agent,https://www.cian.ru/sale/flat/301386496/,Москва,sale,flat,2,25,2,60.1,-1,0,28000000,Свиблово,Сельскохозяйственная ,38к1,Ботанический сад,LIFE-Ботанический сад
Анастасия Носкова,realtor,https://www.cian.ru/sale/flat/301262247/,Москва,sale,flat,18,41,2,48.0,-1,0,27990000,Раменки, Лобачевского,120к1,Аминьевская,Крылья
Инком-Недвижимость. Новостройки,real_estate_agent,https://www.cian.ru/sale/flat/296473523/,Москва,sale,flat,4,19,2,49.3,-1,0,27931636,Щукино, Маршала Рыбалко,2к4,Панфиловская,Маршал
Анна Киселева,realtor,https://www.cian.ru/sale/flat/299334556/,Москва,sale,flat,14,25,2,61.1,-1,0,28499000,Хорошевский, Маргелова,3к1,Беговая,Авиатика
Московский Риэлторский Центр,real_estate_agent,https://www.cian.ru/sale/flat/301215861/,Москва,sale,flat,28,36,2,66.3,-1,0,28500000,Хорошево-Мневники,Шелепихинская набережная,42к3,Полежаевская,FreeDOM
ID 77275168,realtor,https://www.cian.ru/sale/flat/297220322/,Москва,sale,flat,20,25,2,69.8,-1,0,28500000,Очаково-Матвеевское,Староволынская ,12к4,Матвеевская,Волынский
Иван Нестеров,realtor,https://www.cian.ru/sale/flat/301633711/,Москва,sale,flat,7,21,2,58.0,-1,0,28490000,Хорошево-Мневники, Народного Ополчения,13,Народное Ополчение,Wellton Gold
ID 47209347,unknown,https://www.cian.ru/sale/flat/301114604/,Москва,sale,flat,24,36,2,52.0,-1,0,28500000,Раменки, Лобачевского,120к1,Аминьевская,Крылья
Greenfield Consult,real_estate_agent,https://www.cian.ru/sale/flat/292881456/,Москва,sale,flat,2,16,2,60.3,-1,0,28700000,Сокольники, Матросская Тишина,10С1,Сокольники,Ренессанс
do A.S.A.P.,real_estate_agent,https://www.cian.ru/sale/flat/298752696/,Москва,sale,flat,12,36,2,65.6,-1,0,28900000,Хорошево-Мневники,Шелепихинская набережная,42к3,Полежаевская,FreeDOM
Дарья Румянцева,realtor,https://www.cian.ru/sale/flat/298457044/,Москва,sale,flat,12,15,2,48.7,-1,0,29000000,Аэропорт,Ленинградский проспект,36с38,,ВТБ Арена парк
Дарья Румянцева,realtor,https://www.cian.ru/sale/flat/296523937/,Москва,sale,flat,15,28,2,49.0,-1,0,29000000,Филевский парк, Василисы Кожиной,13,Парк Победы,Квартал апартаментов Match Point
ID 116396623,homeowner,https://www.cian.ru/sale/flat/301849270/,Москва,sale,flat,9,33,2,41.0,-1,0,29000000,Хорошево-Мневники,Причальный проезд,10Б,Шелепиха,Level Причальный
ИНКОМ-Недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/298157721/,Москва,sale,flat,14,22,2,63.0,-1,0,29500000,Даниловский,бульвар Братьев Весниных,1,ЗИЛ,ЗИЛАРТ
Дмитрий Шпак,realtor,https://www.cian.ru/sale/flat/300857339/,Москва,sale,flat,7,16,2,74.6,-1,0,29750000,Аэропорт, Самеда Вургуна,11,Красный Балтиец,
ID 97073310,realtor,https://www.cian.ru/sale/flat/300787917/,Москва,sale,flat,5,9,2,55.7,-1,0,29700000,Пресненский, Пресненский Вал,8К2,Улица 1905 года,
ID 96910,unknown,https://www.cian.ru/sale/flat/299360885/,Москва,sale,flat,35,57,2,51.9,-1,0,29700000,Хорошево-Мневники, Народного Ополчения,15К3,Народное Ополчение,Wellton Towers
ID 352230,homeowner,https://www.cian.ru/sale/flat/299903271/,Москва,sale,flat,5,10,2,56.0,-1,0,29700000,Дорогомилово,Большая Дорогомиловская ,11,Киевская,
Елена Павлова,realtor,https://www.cian.ru/sale/flat/301850093/,Москва,sale,flat,20,25,2,75.0,-1,0,30000000,Раменки, Лобачевского,118к2,Аминьевская,Лобачевский
EstateLiga,real_estate_agent,https://www.cian.ru/sale/flat/301790060/,Москва,sale,flat,28,29,2,78.0,-1,0,30000000,Пресненский,Шмитовский проезд,39к8,Шелепиха,Headliner
Дарья Румянцева,realtor,https://www.cian.ru/sale/flat/300321051/,Москва,sale,flat,2,24,2,54.9,-1,0,30000000,Донской,,к2,Верхние котлы,Новоданиловская 8 ЖК
Дмитрий Каменев,realtor,https://www.cian.ru/sale/flat/294345287/,Москва,sale,flat,7,11,2,54.1,-1,0,29950000,Дорогомилово, Генерала Ермолова,6,Парк Победы,
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/299730698/,Москва,sale,flat,6,28,2,77.4,-1,0,30700000,Филевский парк,Береговой проезд,1Б,Шелепиха,мой адрес На Береговом
Самолет Плюс Москва ЦАО,real_estate_agent,https://www.cian.ru/sale/flat/299610310/,Москва,sale,flat,6,10,2,77.4,-1,0,30700000,Филевский парк,Береговой проезд,1Б,Шелепиха,мой адрес На Береговом
BOYKOV Company,real_estate_agent,https://www.cian.ru/sale/flat/300029504/,Москва,sale,flat,2,21,2,38.8,-1,0,31500000,Хорошевский,Хорошевское шоссе,25Ак3,Хорошёвская,Династия
QuickHome,real_estate_agent,https://www.cian.ru/sale/flat/300338512/,Москва,sale,flat,5,9,2,52.3,-1,0,31900000,Дорогомилово,Брянская ,2,Киевская,
ID 15471832,homeowner,https://www.cian.ru/sale/flat/300840991/,Москва,sale,flat,7,25,2,58.0,-1,0,31850000,Филевский парк,Береговой проезд,5Ак4,Фили,Фили Град
Евгений Сопов,realtor,https://www.cian.ru/sale/flat/301366627/,Москва,sale,flat,12,16,2,51.3,-1,0,31900000,Даниловский, Архитектора Щусева,4к1,ЗИЛ,ЗИЛАРТ
Андрей Алексеев,realtor,https://www.cian.ru/sale/flat/300676856/,Москва,sale,flat,3,28,2,72.0,-1,0,32000000,Филевский парк,Береговой проезд,1Б,Шелепиха,мой адрес На Береговом
ID 277086,realtor,https://www.cian.ru/sale/flat/296637315/,Москва,sale,flat,17,22,2,73.3,-1,0,32000000,Щукино,Щукинская ,3,,Интонация
Ордер,real_estate_agent,https://www.cian.ru/sale/flat/299865767/,Москва,sale,flat,17,20,2,56.1,-1,0,32450000,Филевский парк,Большая Филевская ,3к4,Фили,Западный порт
ЖИR Private,real_estate_agent,https://www.cian.ru/sale/flat/299091687/,Москва,sale,flat,6,23,2,57.0,-1,0,32500000,Можайский,Можайское шоссе,6К1,Кунцевская,
QuickHome,real_estate_agent,https://www.cian.ru/sale/flat/300542619/,Москва,sale,flat,5,6,2,56.0,-1,0,32900000,Хамовники, Доватора,17,Спортивная,
Мой Дом - отделение Добрынинское,real_estate_agent,https://www.cian.ru/sale/flat/300114983/,Москва,sale,flat,1,4,2,75.6,-1,0,33000000,Таганский,Пестовский переулок,9,Таганская,
ID 89410275,unknown,https://www.cian.ru/sale/flat/299430402/,Москва,sale,flat,8,9,2,67.6,-1,0,32999000,Басманный,Нижняя Красносельская ,35С49,Бауманская,Лофтек
ID 13948405,realtor,https://www.cian.ru/sale/flat/298962048/,Москва,sale,flat,16,24,2,72.73,-1,0,33999990,Даниловский,Автозаводская ,23Бк2,ЗИЛ,Парк Легенд
Капиталъ-Недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/298572975/,Москва,sale,flat,38,46,2,58.0,-1,0,34380000,Даниловский,Дубининская ,59С1,Серпуховская,Павелецкая Сити
EstateLiga,real_estate_agent,https://www.cian.ru/sale/flat/297957053/,Москва,sale,flat,13,20,2,57.5,-1,0,34500000,Филевский парк,Большая Филевская ,3к4,Фили,Западный порт
QuickHome,real_estate_agent,https://www.cian.ru/sale/flat/300836718/,Москва,sale,flat,8,9,2,63.5,-1,0,34900000,Замоскворечье,Космодамианская набережная,46-50С1,Павелецкая,
ID 71848831,unknown,https://www.cian.ru/sale/flat/301774511/,Москва,sale,flat,4,11,2,58.0,-1,0,34900000,Дорогомилово,площадь Победы,1кБ,Парк Победы,
Владис,real_estate_agent,https://www.cian.ru/sale/flat/301400317/,Москва,sale,flat,3,17,2,77.8,-1,0,35000000,, Татьянин Парк,15к2,Говорово,Татьянин Парк
FavoritEstate,real_estate_agent,https://www.cian.ru/sale/flat/264022590/,Москва,sale,flat,4,5,2,102.0,-1,0,35000000,Басманный,Старая Басманная ,31,Бауманская,
ТАНДЕМ,real_estate_agent,https://www.cian.ru/sale/flat/298576741/,Москва,sale,flat,7,7,2,70.0,-1,0,35990000,Тверской,Цветной бульвар,23С1,Цветной бульвар,
Дарья Румянцева,realtor,https://www.cian.ru/sale/flat/300861564/,Москва,sale,flat,5,15,2,52.0,-1,0,35700000,Аэропорт,Ленинградский проспект,36с38,,ВТБ Арена парк
ID 52480289,unknown,https://www.cian.ru/sale/flat/299203624/,Москва,sale,flat,6,27,2,50.0,-1,0,36300000,Беговой,Верхняя ,20к1,Белорусская,Суббота
МИЭЛЬ,real_estate_agent,https://www.cian.ru/sale/flat/298792032/,Москва,sale,flat,12,20,2,63.0,-1,0,37000000,Даниловский,бульвар Братьев Весниных,2,ЗИЛ,ЗИЛАРТ
ID 103573394,homeowner,https://www.cian.ru/sale/flat/297510568/,Москва,sale,flat,7,28,2,66.6,-1,0,36800000,Раменки,Винницкая ,8к2,Раменки,
Юлия Садчикова,realtor,https://www.cian.ru/sale/flat/299847046/,Москва,sale,flat,11,14,2,45.0,-1,0,37500000,Раменки,проспект Генерала Дорохова,39к2И,Минская,
Антон Осмелкин,realtor,https://www.cian.ru/sale/flat/297067178/,Москва,sale,flat,11,13,2,75.0,-1,0,39000000,Измайлово,Измайловский проезд,10к2,Измайловская,Виноградный
ID 17488181,unknown,https://www.cian.ru/sale/flat/301833457/,Москва,sale,flat,5,6,2,65.0,-1,0,38999999,Хорошевский,2-й Хорошевский проезд,9К1,Беговая,
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/301621278/,Москва,sale,flat,13,16,2,75.0,-1,0,39900000,Даниловский, Родченко,2,ЗИЛ,
ID 94136074,unknown,https://www.cian.ru/sale/flat/301814288/,Москва,sale,flat,5,38,2,70.0,-1,0,40400000,Раменки, Лобачевского,120к1,Аминьевская,Крылья
Business Leader,real_estate_agent,https://www.cian.ru/sale/flat/295999831/,Москва,sale,flat,9,11,2,73.4,-1,0,40750000,Пресненский,Краснопресненская набережная,2/1,Краснопресненская,
IZRAEV invest club,real_estate_agent,https://www.cian.ru/sale/flat/299143787/,Москва,sale,flat,19,25,2,102.9,-1,0,40999999,Аэропорт,Ленинградский проспект,76К3,Сокол,Соколиное гнездо
Холдинг Профи,real_estate_agent,https://www.cian.ru/sale/flat/300799831/,Москва,sale,flat,2,18,2,67.6,-1,0,40999999,Хорошево-Мневники,Шелепихинская набережная,34к2зд3,Шелепиха,Сердце Столицы
ЖИR Private,real_estate_agent,https://www.cian.ru/sale/flat/300810444/,Москва,sale,flat,2,16,2,68.4,-1,0,41000000,Раменки,Мичуринский проспект,7К1,Ломоносовский проспект,Квартал Шуваловский
ID 72343558,homeowner,https://www.cian.ru/sale/flat/298506160/,Москва,sale,flat,21,31,2,108.8,-1,0,42500000,Ломоносовский,Нахимовский проспект,73,Профсоюзная,Versis
Олимп,real_estate_agent,https://www.cian.ru/sale/flat/301399293/,Москва,sale,flat,3,11,2,69.5,-1,0,43000000,Пресненский,Краснопресненская набережная,2/1,Краснопресненская,
Ксения Тищенкова,realtor,https://www.cian.ru/sale/flat/301858752/,Москва,sale,flat,3,5,2,71.0,-1,0,43000000,Замоскворечье,Новокузнецкая ,30С2,Павелецкая,
NW-RIELTY,real_estate_agent,https://www.cian.ru/sale/flat/301579727/,Москва,sale,flat,26,29,2,53.0,-1,0,43000000,Якиманка,Мытная ,40к4,Октябрьская,Sky House
ЖИR Private,real_estate_agent,https://www.cian.ru/sale/flat/300842155/,Москва,sale,flat,15,22,2,87.5,-1,0,44000000,Фили-Давыдково,Давыдковская ,18,Давыдково,Форт Кутузов
ID 47499523,realtor,https://www.cian.ru/sale/flat/301188598/,Москва,sale,flat,2,19,2,69.1,-1,0,44000000,Хорошево-Мневники,Шелепихинская набережная,34к2зд2,Шелепиха,
ID 114254618,homeowner,https://www.cian.ru/sale/flat/300529484/,Москва,sale,flat,6,12,2,81.9,-1,0,43900000,Хорошевский,Ходынский бульвар,19,ЦСКА,Гранд-парк
White and Broughton,real_estate_agent,https://www.cian.ru/sale/flat/301763282/,Москва,sale,flat,39,41,2,56.9,-1,0,44900000,Хорошевский,Ленинградский проспект,37/6,Аэропорт,Прайм Парк
ID 57733949,unknown,https://www.cian.ru/sale/flat/267439381/,Москва,sale,flat,43,44,2,69.0,-1,0,44500000,Пресненский,Ходынская ,2,Улица 1905 года,Пресня Сити
EstateLiga,real_estate_agent,https://www.cian.ru/sale/flat/301067667/,Москва,sale,flat,22,25,2,111.0,-1,0,47900000,Якиманка,Мытная ,40к4,Октябрьская,Sky House
ID 21109,realtor,https://www.cian.ru/sale/flat/298022553/,Москва,sale,flat,5,23,2,79.9,-1,0,48000000,Сокольники,проезд Попов,4,Электрозаводская,
ID 15691066,real_estate_agent,https://www.cian.ru/sale/flat/300305064/,Москва,sale,flat,19,28,2,80.0,-1,0,48000000,Тропарево-Никулино,улица Мичуринский проспект Олимпийская деревня,1к1,Мичуринский проспект,Чемпион парк
Александр Смирнов,realtor,https://www.cian.ru/sale/flat/300445049/,Москва,sale,flat,16,40,2,72.0,-1,0,48500000,Хорошевский,Ленинградский проспект,37/5,Аэропорт,Прайм Парк
Денис Алференко,realtor,https://www.cian.ru/sale/flat/301838529/,Москва,sale,flat,39,44,2,69.4,-1,0,50900000,Пресненский,Ходынская ,2,Улица 1905 года,Пресня Сити
Анатолий Зверев,realtor,https://www.cian.ru/sale/flat/300995773/,Москва,sale,flat,27,44,2,68.5,-1,0,57000000,Пресненский,Ходынская ,2,Улица 1905 года,Пресня Сити
ID 100288994,homeowner,https://www.cian.ru/sale/flat/286046754/,Москва,sale,flat,3,9,2,118.8,-1,0,57000000,Тверской,Большой Каретный переулок,24с2,Цветной бульвар,Каретный плаза
Century 21 Харламов,real_estate_agent,https://www.cian.ru/sale/flat/301065291/,Москва,sale,flat,4,8,2,65.1,-1,0,57500000,Тверской, Большая Дмитровка,21/7,Пушкинская,
Галина Каримова,realtor,https://www.cian.ru/sale/flat/300018901/,Москва,sale,flat,4,9,2,54.4,-1,0,58400000,Беговой,Верхняя ,22,Белорусская,Оливковый дом
ID 24324772,homeowner,https://www.cian.ru/sale/flat/301880217/,Москва,sale,flat,4,7,2,73.0,-1,0,59000000,Мещанский,Большой Сухаревский переулок,11,Сухаревская,
Diamant Estate,real_estate_agent,https://www.cian.ru/sale/flat/300028754/,Москва,sale,flat,17,34,2,68.2,-1,0,61000000,Дорогомилово,Поклонная ,9,Поклонная,Поклонная 9
Елена Нестеренко,realtor,https://www.cian.ru/sale/flat/290422201/,Москва,sale,flat,3,6,2,49.0,-1,0,64000000,Хамовники,Зубовская ,7,Парк Культуры,Roza Rossa
CHIP.AGENCY,real_estate_agent,https://www.cian.ru/sale/flat/299746602/,Москва,sale,flat,79,95,2,72.9,-1,0,65500000,Пресненский,набережная Пресненская,12,Деловой центр,Башня Федерация
Ксения Тищенкова,realtor,https://www.cian.ru/sale/flat/297845963/,Москва,sale,flat,4,57,2,110.0,-1,0,66000000,Хорошевский,Чапаевский переулок,3,Аэропорт,Триумф-Палас
MUST HAVE BURO,real_estate_agent,https://www.cian.ru/sale/flat/301124146/,Москва,sale,flat,3,10,2,53.5,-1,0,70000000,Пресненский,Малый Кисловский переулок,3,Арбатская,Рахманинов
BOYKOV Company,real_estate_agent,https://www.cian.ru/sale/flat/300447621/,Москва,sale,flat,37,78,2,78.0,-1,0,74100000,Пресненский,1-й Красногвардейский проезд,22с2,Москва-Сити,NEVA TOWERS
Капиталъ-Недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/294770347/,Москва,sale,flat,5,8,2,60.0,-1,0,74900000,Таганский,Тессинский переулок,3,Чкаловская,"Тессинский, 1"
MUST HAVE BURO,real_estate_agent,https://www.cian.ru/sale/flat/301706557/,Москва,sale,flat,2,10,2,67.8,-1,0,85000000,Тверской, Палиха,4,Менделеевская,Клубный дом Maison Rouge
Капиталъ-Недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/297708682/,Москва,sale,flat,2,5,2,76.0,-1,0,84400000,Замоскворечье,Большой Ордынский переулок,4С4,Третьяковская,Собрание клубных домов ORDYNKA
ID 413058,realtor,https://www.cian.ru/sale/flat/297753284/,Москва,sale,flat,3,4,2,61.8,-1,0,85900000,Хамовники,Малый Левшинский переулок,10,Парк Культуры,
MUST HAVE BURO,real_estate_agent,https://www.cian.ru/sale/flat/294069323/,Москва,sale,flat,2,7,2,111.0,-1,0,110000000,Арбат,1-й Смоленский переулок,21,Смоленская,Smolensky De Luxe
GRAND ESTATE - Премиальная недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/300539780/,Москва,sale,flat,5,6,2,117.0,-1,0,115000000,Хамовники,3-й Обыденский переулок,2,Кропоткинская,
Анастасия Журкевич,realtor,https://www.cian.ru/sale/flat/295350545/,Москва,sale,flat,5,8,2,91.0,-1,0,133144654,Пресненский,Малый Козихинский переулок,7,Пушкинская,
,,https://www.cian.ru/sale/flat/285925205/,Москва,sale,flat,4,9,2,75.3,-1,0,135540000,Хамовники,2-й Неопалимовский переулок,3,Парк Культуры,Клубный особняк High Garden
,,https://www.cian.ru/sale/flat/285924533/,Москва,sale,flat,4,9,2,87.9,-1,0,158220000,Хамовники,2-й Неопалимовский переулок,3,Парк Культуры,Клубный особняк High Garden
Виктория Малинбойм,realtor,https://www.cian.ru/sale/flat/300005419/,Москва,sale,flat,3,10,2,113.5,-1,0,182000000,Тверской,Большая Грузинская ,69,Белорусская,Четыре Ветра
TROIKA ESTATE,real_estate_agent,https://www.cian.ru/sale/flat/300562569/,Москва,sale,flat,5,6,2,100.0,-1,0,192830189,Хамовники,Пожарский переулок,3,Кропоткинская,Villa Grace
ЕГСН Продажа,real_estate_agent,https://www.cian.ru/sale/flat/295919515/,Москва,sale,flat,1,9,-1,36.7,-1,0,1300000,Перово, Металлургов,6,Перово,
ID 95938,realtor,https://www.cian.ru/sale/flat/298072275/,Москва,sale,flat,4,5,2,51.0,-1,0,6700000,пос. Рогово, Школьная,17,,
Liberty Estate,real_estate_agent,https://www.cian.ru/sale/flat/299046481/,Москва,sale,flat,2,7,2,42.3,-1,0,7200000,, Медовая Долина,1к2,Санино,
ID 53878530,real_estate_agent,https://www.cian.ru/sale/flat/299185443/,Москва,sale,flat,1,14,2,39.0,-1,0,7850000,, Омская,9,Аэропорт Внуково,Внуково 2017
ID 111063984,homeowner,https://www.cian.ru/sale/flat/300242071/,Москва,sale,flat,3,5,2,44.0,-1,0,7900000,, Школьная,12,Кокошкино,
Галина Стеблякова,realtor,https://www.cian.ru/sale/flat/295688091/,Москва,sale,flat,12,12,2,38.5,-1,0,8000000,,,18,Коммунарка,
ID 79464096,homeowner,https://www.cian.ru/sale/flat/289211505/,Москва,sale,flat,12,18,2,32.6,-1,0,8300000,Крюково,проспект Георгиевский,33к5,Митино,Жемчужина Зеленограда
ID 89413947,realtor,https://www.cian.ru/sale/flat/301114893/,Москва,sale,flat,8,12,2,63.3,-1,0,8300000,, Гореловская,3,Силикатная,
ID 94286673,homeowner,https://www.cian.ru/sale/flat/301774524/,Москва,sale,flat,3,4,2,46.7,-1,0,8500000,, Солнечная,3А,Рассказовка,Клубный дом Солнечный
Руслан Рогов,realtor,https://www.cian.ru/sale/flat/301620056/,Москва,sale,flat,2,9,2,37.0,-1,0,8899000,Гольяново,Щелковское шоссе,45,Щёлковская,
ID 96232923,homeowner,https://www.cian.ru/sale/flat/278777773/,Москва,sale,flat,4,4,2,71.0,-1,0,9150000,, Троицкая,2/1,Щербинка,
ID 330664,realtor,https://www.cian.ru/sale/flat/300918985/,Москва,sale,flat,7,7,2,59.0,-1,0,9200000,, Медовая Долина,1к2,Санино,
Владис,real_estate_agent,https://www.cian.ru/sale/flat/300153006/,Москва,sale,flat,3,3,2,65.3,-1,0,9350000,, Борисоглебская Слобода,19,Апрелевка,Борисоглебское
ID 57473059,homeowner,https://www.cian.ru/sale/flat/289714004/,Москва,sale,flat,9,9,2,63.8,-1,0,9400000,, Андерсена,2,Коммунарка,Андерсен
Владис,real_estate_agent,https://www.cian.ru/sale/flat/299098558/,Москва,sale,flat,14,14,2,40.0,-1,0,9500000,, Омская,8,Аэропорт Внуково,Внуково 2017
ID 79234919,homeowner,https://www.cian.ru/sale/flat/297533530/,Москва,sale,flat,4,4,2,60.0,-1,0,9500000,пос. Рогово, Березки,,,Кутузовские берёзы
ЕГСН Продажа,real_estate_agent,https://www.cian.ru/sale/flat/298618899/,Москва,sale,flat,1,5,2,44.8,-1,0,9600000,Восточное Измайлово,Измайловский проспект,87,Первомайская,
ID 44026408,homeowner,https://www.cian.ru/sale/flat/295313435/,Москва,sale,flat,16,18,2,42.2,-1,0,9600000,, Александры Монаховой,90к6,Бунинская аллея,Бунинские луга
ID 44988,homeowner,https://www.cian.ru/sale/flat/298102693/,Москва,sale,flat,1,14,2,40.0,-1,0,9800000,, Фитаревская,19к1,Коммунарка,Garden Park Эдальго
Офис на Серпуховской,real_estate_agent,https://www.cian.ru/sale/flat/301648641/,Москва,sale,flat,16,17,2,65.0,-1,0,9899999,Южное Бутово, Маршала Савицкого,26,Щербинка,
ID 85569806,realtor,https://www.cian.ru/sale/flat/300502907/,Москва,sale,flat,1,9,2,38.0,-1,0,9900000,Кузьминки,Окская ,36К1,Окская,
Владис,real_estate_agent,https://www.cian.ru/sale/flat/300153301/,Москва,sale,flat,11,15,2,36.0,-1,0,10000000,Нижегородский,Подъемная ,1,Калитники,
